id_combinado_origen_nomeclatura,id_dug,id_combinado_origen_datos_dataframe
1313,209,HUEHUETENANGO_SAN MIGUEL ACATÁN
1306,202,HUEHUETENANGO_SAN PEDRO NECTA
1308,204,HUEHUETENANGO_SAN PEDRO SOLOMA
1314,210,HUEHUETENANGO_SAN RAFAEL LA INDEPENDENCIA
1328,224,HUEHUETENANGO_SAN RAFAEL PETZAL
1325,221,HUEHUETENANGO_SAN SEBASTIÁN COATÁN
1320,216,HUEHUETENANGO_SAN SEBASTIÁN HUEHUETENANGO
1331,227,HUEHUETENANGO_SANTA ANA HUISTA
1310,206,HUEHUETENANGO_SANTA BÁRBARA
1317,213,HUEHUETENANGO_SANTA EULALIA
1330,226,HUEHUETENANGO_SANTIAGO CHIMALTENANGO
1321,217,HUEHUETENANGO_TECTITÁN
1315,211,HUEHUETENANGO_TODOS SANTOS CUCHUMATÁN
1332,228,HUEHUETENANGO_UNION CANTINIL
1803,292,IZABAL_EL ESTOR
1802,291,IZABAL_LIVINGSTON
1805,294,IZABAL_LOS AMATES
1804,293,IZABAL_MORALES
1801,290,IZABAL_PUERTO BARRIOS
2101,317,JALAPA_JALAPA
2107,323,JALAPA_MATAQUESCUINTLA
2106,322,JALAPA_MONJAS
2105,321,JALAPA_SAN CARLOS ALZATATE
2103,319,JALAPA_SAN LUIS JILOTEPEQUE
2104,320,JALAPA_SAN MANUEL CHAPARRÓN
2102,318,JALAPA_SAN PEDRO PINULA
2204,327,JUTIAPA_AGUA BLANCA
2205,328,JUTIAPA_ASUNCIÓN MITA
2207,330,JUTIAPA_ATESCATEMPA
2211,334,JUTIAPA_COMAPA
2213,336,JUTIAPA_CONGUACO
2209,332,JUTIAPA_EL ADELANTO
2202,325,JUTIAPA_EL PROGRESO
2212,335,JUTIAPA_JALPATAGUA
2208,331,JUTIAPA_JEREZ
2201,324,JUTIAPA_JUTIAPA
2214,337,JUTIAPA_MOYUTA
2215,338,JUTIAPA_PASACO
2217,340,JUTIAPA_QUEZADA
2216,339,JUTIAPA_SAN JOSÉ ACATEMPA
2203,326,JUTIAPA_SANTA CATARINA MITA
2206,329,JUTIAPA_YUPILTEPEQUE
2210,333,JUTIAPA_ZAPOTITLÁN
913,125,QUETZALTENANGO_ALMOLONGA
906,118,QUETZALTENANGO_CABRICÁN
907,119,QUETZALTENANGO_CAJOLÁ
914,126,QUETZALTENANGO_CANTEL
920,132,QUETZALTENANGO_COATEPEQUE
917,129,QUETZALTENANGO_COLOMBA
911,123,QUETZALTENANGO_CONCEPCIÓN CHIQUIRICHAPA
919,131,QUETZALTENANGO_EL PALMAR
922,134,QUETZALTENANGO_FLORES COSTA CUCA
921,133,QUETZALTENANGO_GÉNOVA
915,127,QUETZALTENANGO_HUITÁN
923,135,QUETZALTENANGO_LA ESPERANZA
903,115,QUETZALTENANGO_OLINTEPEQUE
924,136,QUETZALTENANGO_PALESTINA DE LOS ALTOS
901,113,QUETZALTENANGO_QUETZALTENANGO
902,114,QUETZALTENANGO_SALCAJÁ
904,116,QUETZALTENANGO_SAN CARLOS SIJA
918,130,QUETZALTENANGO_SAN FRANCISCO LA UNIÓN
909,121,QUETZALTENANGO_SAN JUAN OSTUNCALCO
912,124,QUETZALTENANGO_SAN MARTÍN SACATEPÉQUEZ
910,122,QUETZALTENANGO_SAN MATEO
908,120,QUETZALTENANGO_SAN MIGUEL SIGÜILÁ
905,117,QUETZALTENANGO_SIBILIA
916,128,QUETZALTENANGO_ZUNIL
1418,247,QUICHE_CANILLÁ
1405,234,QUICHE_CHAJUL
1419,248,QUICHE_CHICAMÁN
1406,235,QUICHE_CHICHICASTENANGO
1402,231,QUICHE_CHICHÉ
1403,232,QUICHE_CHINIQUE
1410,239,QUICHE_CUNÉN
1420,249,QUICHE_IXCÁN
1412,241,QUICHE_JOYABAJ
1413,242,QUICHE_NEBAJ
1421,250,QUICHE_PACHALÚN
1407,236,QUICHE_PATZITÉ
1416,245,QUICHE_SACAPULAS
1414,243,QUICHE_SAN ANDRÉS SAJCABAJÁ
1408,237,QUICHE_SAN ANTONIO ILOTENANGO
1417,246,QUICHE_SAN BARTOLOMÉ JOCOTENANGO
1411,240,QUICHE_SAN JUAN COTZAL
1415,244,QUICHE_SAN MIGUEL USPANTÁN
1409,238,QUICHE_SAN PEDRO JOCOPILAS
1401,230,QUICHE_SANTA CRUZ DEL QUICHÉ
1404,233,QUICHE_ZACUALPA
1107,164,RETALHULEU_CHAMPERICO
1109,166,RETALHULEU_EL ASINTAL
1108,165,RETALHULEU_NUEVO SAN CARLOS
1101,158,RETALHULEU_RETALHULEU
1106,163,RETALHULEU_SAN ANDRÉS VILLA SECA
