id_dcie,id_dimension,id_fuente_origen
2323,A609,A:60:9
2324,A630,A:63:0
55,A64,A:64
2330,A664,A:66:4
59,A68,A:68
2343,A689,A:68:9
2346,A692,A:69:2
2352,A740,A:74:0
2353,A748,A:74:8
2354,A749,A:74:9
2365,A779,A:77:9
66,A78,A:78
2373,A803,A:80:3
2378,A812,A:81:2
2379,A818,A:81:8
2380,A819,A:81:9
2385,A831,A:83:1
2389,A835,A:83:5
2396,A849,A:84:9
14592,A859,A:85:9
74,A86,A:86
2404,A878,A:87:8
2405,A879,A:87:9
2408,A888,A:88:8
77,A89,A:89
78,A90,A:90
14593,A901,A:90:1
79,A91,A:91
80,A92,A:92
2409,A920,A:92:0
2414,A928,A:92:8
2415,A929,A:92:9
82,A94,A:94
83,A95,A:95
2422,A959,A:95:9
2428,A980,A:98:0
14596,A989,A:98:9
86,A99,A:99
88,AA999,AA:99:9
89,B00,B:00
2435,B000,B:00:0
2436,B001,B:00:1
2437,B002,B:00:2
2441,B007,B:00:7
2442,B008,B:00:8
2443,B009,B:00:9
90,B01,B:01
2444,B010,B:01:0
2446,B012,B:01:2
2447,B018,B:01:8
2448,B019,B:01:9
91,B02,B:02
2451,B022,B:02:2
2452,B023,B:02:3
2453,B027,B:02:7
2454,B028,B:02:8
2455,B029,B:02:9
94,B040,B:04:0
95,B041,B:04:1
2462,B059,B:05:9
2464,B068,B:06:8
2465,B069,B:06:9
98,B07,B:07
2466,B080,B:08:0
2467,B081,B:08:1
2468,B082,B:08:2
2469,B083,B:08:3
2470,B084,B:08:4
2471,B085,B:08:5
2472,B088,B:08:8
100,B09,B:09
101,B15,B:15
2473,B150,B:15:0
2474,B159,B:15:9
102,B16,B:16
2475,B160,B:16:0
2477,B162,B:16:2
2478,B169,B:16:9
14598,B16X,B:16:X
103,B17,B:17
2479,B170,B:17:0
2488,B189,B:18:9
2489,B190,B:19:0
2490,B199,B:19:9
106,B20,B:20
2491,B200,B:20:0
2497,B206,B:20:6
2500,B209,B:20:9
2508,B220,B:22:0
2512,B230,B:23:0
2513,B231,B:23:1
2515,B238,B:23:8
110,B24,B:24
2520,B259,B:25:9
2521,B260,B:26:0
2522,B261,B:26:1
2526,B269,B:26:9
2528,B271,B:27:1
114,B30,B:30
2531,B300,B:30:0
2532,B301,B:30:1
2533,B302,B:30:2
2534,B303,B:30:3
2535,B308,B:30:8
2536,B309,B:30:9
2537,B330,B:33:0
2542,B338,B:33:8
116,B34,B:34
2543,B340,B:34:0
2548,B348,B:34:8
2549,B349,B:34:9
117,B35,B:35
2550,B350,B:35:0
2551,B351,B:35:1
2553,B353,B:35:3
2554,B354,B:35:4
2555,B355,B:35:5
2556,B356,B:35:6
2557,B358,B:35:8
2558,B359,B:35:9
118,B36,B:36
2559,B360,B:36:0
2563,B368,B:36:8
2564,B369,B:36:9
119,B37,B:37
2565,B370,B:37:0
2566,B371,B:37:1
2567,B372,B:37:2
2569,B374,B:37:4
2570,B375,B:37:5
2571,B376,B:37:6
2573,B378,B:37:8
2574,B379,B:37:9
120,B38,B:38
2575,B380,B:38:0
2577,B382,B:38:2
2582,B389,B:38:9
2583,B390,B:39:0
2586,B393,B:39:3
2589,B399,B:39:9
2592,B402,B:40:2
2596,B409,B:40:9
2607,B431,B:43:1
2608,B432,B:43:2
2610,B439,B:43:9
127,B45,B:45
2622,B458,B:45:8
2623,B459,B:45:9
2627,B463,B:46:3
2629,B465,B:46:5
2631,B469,B:46:9
130,B48,B:48
2635,B480,B:48:0
2640,B487,B:48:7
2641,B488,B:48:8
131,B49,B:49
2644,B509,B:50:9
133,B51,B:51
2647,B519,B:51:9
136,B54,B:54
14600,B54X,B:54:X
137,B55,B:55
2655,B551,B:55:1
2659,B561,B:56:1
2662,B571,B:57:1
2663,B572,B:57:2
2667,B580,B:58:0
2672,B589,B:58:9
141,B59,B:59
2675,B602,B:60:2
143,B64,B:64
2680,B653,B:65:3
2695,B674,B:67:4
2700,B679,B:67:9
2703,B689,B:68:9
2704,B690,B:69:0
2707,B699,B:69:9
2718,B744,B:74:4
2724,B769,B:76:9
156,B77,B:77
2725,B770,B:77:0
2727,B779,B:77:9
158,B79,B:79
159,B80,B:80
161,B82,B:82
2738,B820,B:82:0
2739,B829,B:82:9
2740,B830,B:83:0
2742,B832,B:83:2
2745,B838,B:83:8
2746,B839,B:83:9
2748,B851,B:85:1
2749,B852,B:85:2
2750,B853,B:85:3
164,B86,B:86
165,B87,B:87
2752,B870,B:87:0
2755,B873,B:87:3
2758,B879,B:87:9
2759,B880,B:88:0
2761,B882,B:88:2
2764,B889,B:88:9
167,B89,B:89
2780,B955,B:95:5
2781,B956,B:95:6
2783,B958,B:95:8
2785,B961,B:96:1
2786,B962,B:96:2
2792,B968,B:96:8
2793,B970,B:97:0
2800,B977,B:97:7
176,B99,B:99
2818,C028,C:02:8
2825,C048,C:04:8
2835,C068,C:06:8
2837,C080,C:08:0
2865,C148,C:14:8
2899,C210,C:21:0
2900,C211,C:21:1
2903,C220,C:22:0
2904,C221,C:22:1
2910,C240,C:24:0
2926,C300,C:30:0
2932,C318,C:31:8
2961,C410,C:41:0
2963,C412,C:41:2
2986,C448,C:44:8
2993,C460,C:46:0
2998,C468,C:46:8
2999,C469,C:46:9
3057,C608,C:60:8
3061,C629,C:62:9
3085,C693,C:69:3
3102,C718,C:71:8
3123,C760,C:76:0
3163,C813,C:81:3
3183,C840,C:84:0
3193,C857,C:85:7
3208,C900,C:90:0
3237,C941,C:94:1
3256,D000,D:00:0
3257,D001,D:00:1
3266,D019,D:01:9
3267,D020,D:02:0
3301,D071,D:07:1
3303,D073,D:07:3
3317,D104,D:10:4
3325,D120,D:12:0
3334,D129,D:12:9
280,D15,D:15
3355,D161,D:16:1
3359,D165,D:16:5
282,D17,D:17
3364,D170,D:17:0
3371,D177,D:17:7
3372,D179,D:17:9
283,D18,D:18
3373,D180,D:18:0
3374,D181,D:18:1
3378,D199,D:19:9
3381,D210,D:21:0
3389,D220,D:22:0
3393,D224,D:22:4
3394,D225,D:22:5
3396,D227,D:22:7
3397,D229,D:22:9
3399,D231,D:23:1
3406,D239,D:23:9
289,D24,D:24
3410,D259,D:25:9
292,D27,D:27
3420,D290,D:29:0
3421,D291,D:29:1
3422,D292,D:29:2
3439,D315,D:31:5
3451,D339,D:33:9
3452,D350,D:35:0
3464,D367,D:36:7
3465,D369,D:36:9
3466,D370,D:37:0
3474,D379,D:37:9
3475,D380,D:38:0
3483,D391,D:39:1
3488,D401,D:40:1
3501,D430,D:43:0
3521,D464,D:46:4
3524,D467,D:46:7
313,D48,D:48
3539,D485,D:48:5
3541,D487,D:48:7
3542,D489,D:48:9
314,D50,D:50
3543,D500,D:50:0
3544,D501,D:50:1
3545,D508,D:50:8
3546,D509,D:50:9
3552,D519,D:51:9
3557,D530,D:53:0
3560,D538,D:53:8
3561,D539,D:53:9
318,D55,D:55
3562,D550,D:55:0
3574,D569,D:56:9
3580,D580,D:58:0
3582,D582,D:58:2
3584,D589,D:58:9
3588,D593,D:59:3
3592,D598,D:59:8
3593,D599,D:59:9
323,D60,D:60
3598,D610,D:61:0
3603,D619,D:61:9
325,D62,D:62
3605,D638,D:63:8
327,D64,D:64
3606,D640,D:64:0
3607,D641,D:64:1
3609,D643,D:64:3
3610,D644,D:64:4
3611,D648,D:64:8
3612,D649,D:64:9
328,D65,D:65
329,D66,D:66
3615,D682,D:68:2
3620,D688,D:68:8
